Rk,Name,GP,G,A,P,PIM,+/-,TOI,PPG,GWG,PPP,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS
1,Nikita Kucherov,82,41,87,128,62,24,19:57,15,8,48,0.5,1.061,1.561,246,16.70%,44,31
2,Connor McDavid,78,41,75,116,20,3,22:50,9,9,33,0.526,0.962,1.487,240,17.10%,39,30
3,Patrick Kane,81,44,66,110,22,2,22:29,9,7,30,0.543,0.815,1.358,341,12.90%,21,18
4,Leon Draisaitl,82,50,55,105,52,2,22:35,16,5,29,0.61,0.671,1.28,231,21.70%,57,26
5,Brad Marchand,79,36,64,100,96,15,19:37,10,9,34,0.456,0.81,1.266,231,15.60%,46,19
6,Sidney Crosby,79,35,65,100,36,18,20:59,12,3,29,0.443,0.823,1.266,220,15.90%,85,43
7,Nathan MacKinnon,82,41,58,99,34,20,22:05,12,6,37,0.5,0.707,1.207,365,11.20%,54,31
8,Johnny Gaudreau,82,36,63,99,24,18,20:04,6,8,27,0.439,0.768,1.207,245,14.70%,12,12
9,Steven Stamkos,82,45,53,98,37,4,18:18,19,6,40,0.549,0.646,1.195,234,19.20%,72,40
10,Aleksander Barkov,82,35,61,96,8,-3,22:21,13,5,31,0.427,0.744,1.171,206,17.00%,28,61
11,Mitchell Marner,82,26,68,94,22,22,19:49,3,5,21,0.317,0.829,1.146,233,11.20%,29,43
12,Brayden Point,79,41,51,92,28,27,18:55,20,7,35,0.519,0.646,1.165,191,21.50%,31,43
13,Jonathan Huberdeau,82,30,62,92,40,-14,18:51,11,5,34,0.366,0.756,1.122,226,13.30%,57,45
14,Blake Wheeler,82,20,71,91,60,0,20:42,2,3,33,0.244,0.866,1.11,231,8.70%,81,53
15,Alexander Ovechkin,81,51,38,89,40,7,20:55,18,5,28,0.63,0.469,1.099,338,15.10%,223,41
16,John Tavares,82,47,41,88,34,19,19:05,10,8,19,0.573,0.5,1.073,286,16.40%,59,53
17,Mikko Rantanen,74,31,56,87,54,13,20:50,16,4,33,0.419,0.757,1.176,193,16.10%,59,41
18,Artemi Panarin,79,28,59,87,23,14,19:51,6,8,18,0.354,0.747,1.101,191,14.70%,14,17
19,Claude Giroux,82,22,63,85,24,9,21:27,2,4,23,0.268,0.768,1.037,229,9.60%,28,19
20,Mark Scheifele,82,38,46,84,38,8,21:51,12,6,23,0.463,0.561,1.024,199,19.10%,54,54
21,Sebastian Aho,82,30,53,83,26,25,20:09,3,7,24,0.366,0.646,1.012,243,12.40%,65,34
22,Brent Burns,82,16,67,83,34,13,25:05,7,6,28,0.195,0.817,1.012,300,5.30%,90,105
23,Sean Monahan,78,34,48,82,12,7,19:03,12,5,23,0.436,0.615,1.051,211,16.10%,36,24
24,Jack Eichel,77,28,54,82,26,-11,20:26,8,2,26,0.364,0.701,1.065,303,9.20%,70,51
25,Phil Kessel,82,27,55,82,28,-19,17:58,12,10,36,0.329,0.671,1,215,12.60%,12,18
26,David Pastrnak,66,38,43,81,32,6,18:45,17,4,33,0.576,0.652,1.227,235,16.20%,57,25
27,Jonathan Toews,82,35,46,81,40,2,21:00,9,5,23,0.427,0.561,0.988,235,14.90%,42,44
28,Tyler Seguin,82,33,47,80,18,17,20:44,9,8,27,0.402,0.573,0.976,334,9.90%,74,47
29,Patrice Bergeron,65,32,47,79,30,23,18:28,9,3,27,0.492,0.723,1.215,205,15.60%,43,60
30,Elias Lindholm,81,27,51,78,20,30,20:02,9,5,26,0.333,0.63,0.963,182,14.80%,82,39
31,Matthew Tkachuk,80,34,43,77,62,14,17:35,11,2,24,0.425,0.538,0.963,207,16.40%,104,13
