,PIM_2017,+/-_2017,HITS_2017,BS_2017,TotIce_2017,PIM_2018,+/-_2018,HITS_2018,BS_2018,TotIce_2018
0,71,9,69,121,1916.3400000000001,47,1,114,88,1937.6599999999999
1,20,11,61,61,1439.37,24,-5,78,71,1348.8999999999999
2,49,11,91,18,1078.92,50,-10,86,21,1174.5
3,14,9,30,67,1743.53,8,-3,28,61,1832.7
4,6,6,40,25,1213.6000000000001,15,0,35,26,1451.3999999999999
5,22,-31,33,37,1330.8600000000001,34,-19,62,34,1131.8400000000001
6,26,-31,114,154,1815.06,16,-7,79,154,1582.32
7,45,22,82,25,1353.0,45,22,88,23,1219.34
8,22,8,48,164,2006.94,22,2,62,139,1708.97
9,27,3,99,42,1187.16,8,13,92,40,1237.28
10,68,-18,157,203,1701.0,54,3,127,166,1375.92
11,28,-7,42,35,1060.18,38,-9,22,29,1159.86
12,32,3,139,21,1650.6599999999999,40,7,223,41,1694.5200000000002
13,72,4,77,64,1649.8400000000001,54,22,60,83,1383.8999999999999
14,20,-11,53,58,1421.2,14,2,55,50,1028.95
15,12,22,28,46,1195.92,12,-1,34,32,1130.25
16,44,-25,102,38,1416.1399999999999,58,20,103,51,1400.56
17,16,-15,24,28,1086.3,38,-9,33,26,1289.7199999999998
18,16,2,80,29,1031.6299999999999,8,1,87,35,1185.03
19,52,-1,91,36,1382.4,30,-8,67,23,1193.94
20,20,21,50,64,1810.56,30,-20,59,66,1806.3
21,26,23,15,19,1629.72,23,14,14,17,1568.15
22,12,25,16,61,1123.44,12,-9,28,60,1261.4
23,52,13,94,66,1638.63,60,0,81,53,1697.3999999999999
24,10,-1,35,29,1238.4,33,-4,62,63,1708.06
25,14,-12,97,52,1018.66,35,-29,77,49,1222.26
26,39,1,205,83,1233.75,42,6,158,70,1312.8500000000001
27,63,25,37,25,1339.6,96,15,46,19,1549.98
28,42,16,96,83,1637.6,56,-20,99,121,1839.26
29,14,-10,29,32,1435.0,12,-9,52,25,1414.4
30,24,18,26,57,1609.6599999999999,28,27,31,43,1494.68
31,56,10,154,37,1617.04,40,3,111,31,1337.7599999999998
32,34,-13,90,41,1325.94,49,10,126,31,1343.1599999999999
33,46,-16,79,136,2068.86,34,13,90,105,2056.56
34,16,-5,29,24,1083.76,22,-2,14,22,1321.35
35,43,-4,50,52,1207.8600000000001,28,20,51,55,1473.54
36,28,2,50,33,1388.26,26,-12,62,29,1297.24
37,26,11,97,40,1106.0700000000002,24,10,119,59,1144.8
38,12,20,36,31,1079.8400000000001,12,13,56,22,1218.18
39,14,19,32,29,1229.8000000000002,20,3,27,25,1549.6000000000001
40,26,1,71,64,1335.95,26,-5,99,67,1429.26
41,18,8,76,63,1090.32,20,-1,77,56,1358.37
42,44,-2,103,24,904.8,57,4,159,49,1374.6
43,8,0,26,45,1310.3600000000001,26,-22,30,54,1378.62
44,20,28,30,23,1668.7,24,9,28,19,1758.8999999999999
45,24,-7,7,28,1482.56,24,-21,16,21,1494.8600000000001
46,53,-4,165,64,1585.06,44,0,122,64,1275.95
47,13,-7,120,141,1853.2,15,20,127,157,1822.4
48,26,20,28,46,1765.46,20,3,39,30,1780.7399999999998
49,24,20,60,35,1214.23,20,11,77,33,1149.12
50,16,10,45,33,1156.54,16,13,54,36,1075.69
51,18,10,31,35,1079.68,16,7,28,24,1431.2700000000002
52,37,10,55,31,1474.3600000000001,32,6,57,25,1237.5
53,50,1,118,20,1244.6000000000001,46,3,52,13,973.56
54,28,-15,52,27,1248.0,24,21,19,19,1117.8
55,26,-7,52,54,1578.5,14,-2,50,51,1383.84
56,34,0,96,25,1275.84,39,-19,102,15,1048.6000000000001
