,G_Diff,A_Diff,P_Diff,PIM_Diff,HITS_Diff,+/-_Diff,BS_Diff
0,-3,2,-1,-24,45,-8,-33
1,-6,-2,-8,4,17,-16,10
2,-4,-5,-9,1,-5,-21,3
3,8,10,18,-6,-2,-12,-6
4,13,11,24,9,-5,-6,1
5,0,-10,-10,12,29,12,-3
6,-9,1,-8,-10,-35,24,0
7,3,-10,-7,0,6,0,-2
8,-2,-11,-13,0,14,-6,-25
9,5,10,15,-19,-7,10,-2
10,4,-4,0,-14,-30,21,-37
11,-4,3,-1,10,-20,-2,-6
12,2,0,2,8,84,4,20
13,2,-2,0,-18,-17,18,19
14,-5,-14,-19,-6,2,13,-8
15,-6,-4,-10,0,6,-23,-14
16,-12,1,-11,14,1,45,13
17,14,7,21,22,9,6,-2
18,-3,-5,-8,-8,7,-1,6
19,1,-1,0,-22,-24,-7,-13
20,-13,-19,-32,10,9,-41,2
21,1,4,5,-3,-1,-9,-2
22,3,7,10,0,12,-34,-1
23,-3,3,0,8,-13,-13,-13
24,5,12,17,23,27,-3,34
25,4,5,9,21,-20,-17,-3
26,3,3,6,3,-47,5,-13
27,2,13,15,33,9,-10,-6
28,-1,4,3,14,3,-36,38
29,5,7,12,-2,23,1,-7
30,9,17,26,4,5,9,-14
31,-11,-5,-16,-16,-43,-7,-6
32,2,-4,-2,15,36,23,-10
33,4,12,16,-12,11,29,-31
34,-3,4,1,6,-15,3,-2
35,6,12,18,-15,1,24,3
36,-1,-1,-2,-2,12,-14,-4
37,5,-8,-3,-2,22,-1,19
38,-6,-3,-9,0,20,-7,-9
39,17,6,23,6,-5,-16,-4
40,7,5,12,0,28,-6,3
41,1,-4,-3,2,1,-9,-7
42,12,3,15,13,56,6,25
43,-8,16,8,18,4,-22,9
44,-12,-5,-17,4,-2,-19,-4
45,-9,-9,-18,0,9,-14,-7
46,-7,-5,-12,-9,-43,4,0
47,4,-11,-7,2,7,27,16
48,0,8,8,-6,11,-17,-16
49,-4,-9,-13,-4,17,-9,-2
50,-5,-8,-13,0,9,3,3
51,3,26,29,-2,-3,-3,-11
52,3,-2,1,-5,2,-4,-6
53,7,-27,-20,-4,-66,2,-7
54,-2,2,0,-4,-33,36,-8
55,1,-22,-21,-12,-2,5,-3
56,-7,-16,-23,5,6,-19,-10
57,-1,-2,-3,-1,23,18,7
58,1,-6,-5,-10,77,-1,11
59,-2,-13,-15,-10,41,-57,-8
60,-6,-4,-10,-34,-39,-48,-4
61,-4,-10,-14,-43,-70,-11,-49
62,16,-6,10,14,4,3,-4
63,11,23,34,2,-16,38,-2
64,-20,-4,-24,-8,-1,-15,-21
65,-6,-11,-17,-14,-14,31,-51
66,1,1,2,71,14,5,-9
67,-21,-5,-26,2,6,-41,1
68,0,5,5,0,6,-16,9
69,-6,-5,-11,2,-4,4,-6
70,2,-16,-14,-12,14,-19,-8
71,-6,8,2,0,30,-8,-18
72,9,4,13,14,-29,1,13
73,1,19,20,-8,-29,3,-13
74,-10,-5,-15,12,-25,-33,-20
75,-10,-1,-11,-10,-9,12,-3
76,3,15,18,-6,18,14,16
77,-13,-10,-23,-10,9,-21,-3
78,11,-12,-1,-1,-25,-11,-2
79,-2,-20,-22,-6,10,10,-39
80,18,10,28,-16,-37,22,1
81,1,-6,-5,7,2,11,11
82,7,-4,3,10,-14,-15,-18
83,0,-19,-19,-25,-6,-26,-3
84,-9,3,-6,-12,-6,-11,-7
85,-9,-17,-26,2,2,-6,9
86,5,1,6,12,27,5,18
87,0,-3,-3,-4,-21,13,-15
88,-12,-10,-22,-16,7,-17,-9
89,1,3,4,0,23,25,-15
90,16,-2,14,2,-4,27,0
91,-5,3,-2,-12,-8,8,0
92,16,-18,-2,-19,-24,-4,-9
93,3,12,15,-18,-15,17,-4
94,-2,4,2,2,7,21,18
95,2,-24,-22,-14,-2,-4,-32
96,10,-6,4,8,29,31,19
97,12,3,15,-2,-4,16,-6
98,5,2,7,-4,0,20,-4
99,3,20,23,8,16,-12,3
100,-2,-14,-16,12,-1,-34,-4
101,15,14,29,-7,10,3,20
102,0,5,5,-16,8,0,8
103,-6,-16,-22,-4,-10,-11,5
104,-8,-10,-18,0,-59,10,-14
105,-2,-13,-15,4,7,28,-1
106,7,-5,2,-12,-24,5,-10
107,1,5,6,15,21,-24,-25
108,-10,1,-9,10,8,-43,-7
109,-6,17,11,-6,18,-3,-21
110,6,10,16,4,35,5,-7
111,7,-2,5,-8,7,22,3
112,3,6,9,2,-9,-15,-5
113,-1,-14,-15,1,17,25,-7
114,3,3,6,12,4,-8,-15
115,-5,3,-2,-1,-2,5,-22
116,25,10,35,22,17,9,2
117,-7,16,9,4,32,-4,-20
118,-8,1,-7,-24,-3,-15,-60
119,4,32,36,6,-35,39,-17
120,15,9,24,20,-3,-11,23
121,13,-2,11,17,19,8,32
122,-4,-19,-23,16,4,-6,25
123,-2,-7,-9,6,7,-5,0
124,-4,-9,-13,-12,-5,2,-24
125,4,7,11,-10,-32,19,-9
126,10,18,28,1,24,15,-3
127,-2,12,10,1,-7,2,-10
128,-13,4,-9,0,13,9,3
129,19,8,27,7,4,27,11
130,5,-2,3,6,1,3,-7
131,-4,3,-1,34,11,8,-11
132,3,24,27,33,42,11,2
133,7,-5,2,-26,-2,55,-14
134,-5,-8,-13,6,-1,-21,-5
135,-3,-4,-7,-10,-18,13,-18
136,14,0,14,-2,11,-4,-8
137,-3,-5,-8,-10,7,1,29
138,-8,6,-2,-6,13,-23,4
139,-6,-10,-16,-24,-38,-11,-21
140,2,1,3,20,27,13,1
141,-9,1,-8,7,22,-4,5
142,4,21,25,-4,-2,23,18
143,14,6,20,0,13,28,30
144,4,-10,-6,-8,-4,3,-21
145,2,0,2,-21,16,9,9
146,-16,5,-11,1,-9,-4,-13
147,-5,-18,-23,-11,31,1,8
148,2,0,2,-6,-7,11,-9
149,-6,-10,-16,-2,-18,42,-15
150,-14,-13,-27,-10,-8,-13,-27
151,1,2,3,-16,17,-3,-21
